"Listing of the SUBTLEX-GR entries that resulted from the spell-checking process along with their frequency and lexical characteristics." 
"Please refer to the manuscript for a detailed description of the information contained in each column." 
 
 
"ID" "Word" "FREQcount" "CD" "SUBTLEX_WF" "Lg10WF" "SUBTLEX_CD" "Lg10CD" "FREQlow" "FREQupper" "N" "OLD20" "Length" "SUBTLEX_WF_full"
1 "Ααρών" 161 32 6.9513 2.2095 0.5810 1.5185 0 161 6 1.6 5 5.7995
2 "αβά" 31 1 1.3384 1.5051 0.0182 0.3010 31 0 8 1.15 3 1.1167
3 "αβαείο" 10 7 0.4318 1.0414 0.1271 0.9031 5 5 1 2 6 0.3602
4 "Αβαείου" 5 3 0.2159 0.7782 0.0545 0.6021 0 5 0 2.35 7 0.1801
5 "αβαθή" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 4 1.7 5 0.0360
6 "αβαθής" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 1.85 6 0.0360
7 "άβακα" 2 2 0.0864 0.4771 0.0363 0.4771 1 1 5 1.65 5 0.0720
8 "άβακας" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 2 1.85 6 0.1081
9 "αβάκια" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 3 1.75 6 0.0360
10 "αβάκιο" 4 2 0.1727 0.6990 0.0363 0.4771 4 0 2 2 6 0.1441
11 "αβάν" 7 7 0.3022 0.9031 0.1271 0.9031 6 1 5 1.6 4 0.2522
12 "Αβάνα" 99 44 4.2744 2.0000 0.7988 1.6532 1 98 5 1.45 5 3.5661
13 "Αβάνας" 39 26 1.6838 1.6021 0.4720 1.4314 0 39 2 1.8 6 1.4048
14 "αβανγκάρντ" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.95 10 0.0360
15 "Αβάντα" 10 4 0.4318 1.0414 0.0726 0.6990 0 10 8 1.45 6 0.3602
16 "αβανταδόρος" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 0 4.4 11 0.1081
17 "αβαντάζ" 21 20 0.9067 1.3424 0.3631 1.3222 21 0 0 2.15 7 0.7565
18 "αβάντες" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 1.95 7 0.0360
